time,altitude,deploy
1613256790.352891,-0.11784223626436274,0
1613256790.513101,0.015560161833179098,0
1613256790.676766,0.012987110265537671,0
1613256790.834147,0.14115355306661415,0
1613256790.991853,-0.18752004323733917,0
1613256791.149109,0.2238850754909072,0
1613256791.307369,0.09411283517134383,0
1613256791.464392,-0.21716518551250896,0
1613256791.623892,0.012190053344612872,0
1613256791.78731,-0.2450367431444267,0
1613256791.945265,-0.07417652148124843,0
1613256792.10267,1.731804671363254,0
1613256792.265328,8.309687804291052,0
1613256792.432959,7.685318160136071,0
1613256792.591574,11.998617693371564,0
1613256792.75384,21.196921668826928,0
1613256792.922674,28.01947441799977,0
1613256793.087403,28.584305401897396,0
1613256793.250005,31.016056934424377,0
1613256793.412381,33.5866796901138,0
1613256793.57639,35.152072134945165,0
1613256793.738477,37.71853107496243,0
1613256793.900224,38.30066094584613,0
1613256794.06716,38.892651327485964,0
1613256794.228956,39.006557593203695,0
1613256794.393687,39.58856572037862,0
1613256794.556946,38.86271907955407,0
1613256794.713875,38.76108960302733,0
1613256794.871033,37.94116366732621,0
1613256795.058987,36.6433825154674,1
1613256795.219729,35.04379725444152,1
1613256795.377072,33.855505194742086,1
1613256795.537275,31.954526646356676,1
1613256795.697117,30.78920707293417,1
1613256795.854716,29.20587002748881,1
1613256796.011873,27.105975886859614,1
1613256796.172937,24.632614407517192,1
1613256796.334102,22.25663212825224,1
1613256796.494198,20.912471026703013,1
1613256796.651444,18.827073610703582,1
1613256796.809047,17.22381064807907,1
1613256796.967113,14.988609437951997,1
1613256797.124581,11.165770731642263,1
1613256797.285788,9.867195381968623,1
1613256797.447317,8.220890866873559,1
1613256797.606579,4.87091028054747,1
1613256797.763856,7.6937655997970715,1
1613256797.921082,-0.7758706461566067,1
1613256798.079057,4.530606305045193,1
1613256798.238706,7.886213247640965,1
1613256798.402454,5.565758701622785,1
1613256798.560542,7.237708313213761,1
1613256798.718934,0.24690433291404745,1
1613256798.876328,5.2137871189077645,1
1613256799.033794,5.837649994609338,1
1613256799.191352,3.7352904367067574,1
1613256799.348422,3.0452789559900486,1
1613256799.510606,3.517942698140566,1
1613256799.669619,2.5941979910592528,1
1613256799.828229,2.6615920206209487,1
1613256799.985533,2.552474506202195,1
1613256800.142249,2.4369520189235017,1
1613256800.302148,2.400575843081886,1
1613256800.459213,2.4866892554245723,1
1613256800.623577,2.445159049964257,1
1613256800.775701,2.652326778830665,1
1613256800.932005,2.5688851017858916,1
1613256801.087879,2.520579934526881,1
1613256801.244908,2.473514229898459,1
1613256801.402164,2.3929476626002977,1
1613256801.562931,2.3014912509904395,1